dataset,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
breastmnist,S3,baseline,10,0.8782051282051282,0.9181286549707602,0.03857830625313979,0.30785641074180603,,1.0721
breastmnist,S3,maxprob,10,0.8782051282051282,0.9200083542188806,0.03920821883739572,0.3070342540740967,,1.0721
breastmnist,S3,entropy,10,0.8782051282051282,0.9202172096908939,0.04068441765430644,0.30768540501594543,,1.0721
breastmnist,S3,variance,10,0.8910256410256411,0.9200083542188805,0.06303105980922011,0.3167452812194824,,1.0721
breastmnist,S3,variance_inv,10,0.8461538461538461,0.8905597326649958,0.07177827182488565,0.37582412362098694,,1.0721
breastmnist,S3,mc_dropout,T=20,0.8717948717948718,0.9126984126984127,0.046168798437485295,0.3229096233844757,,1.0721
breastmnist,S3,ts_only,1,0.8653846153846154,0.914578111946533,0.04516969277308536,0.3192228078842163,,1.0721
breastmnist,S3,ts_entropy,10,0.8782051282051282,0.9202172096908939,0.041727485947119905,0.3057112991809845,,1.0721
